Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Italy,7,5,2,0,12,2,10,17
2,France,7,4,3,0,9,3,6,15
3,Germany,7,5,1,1,14,6,8,16
4,Portugal,7,4,1,2,7,5,2,13
5,Brazil,5,4,0,1,10,2,8,12
6,Argentina,5,3,2,0,11,3,8,11
7,England,5,3,2,0,6,2,4,11
8,Ukraine,5,2,1,2,5,7,−2,7
9,Spain,4,3,0,1,9,4,5,9
10,Switzerland,4,2,2,0,4,0,4,8
11,Netherlands,4,2,1,1,3,2,1,7
12,Ecuador,4,2,0,2,5,4,1,6
13,Ghana,4,2,0,2,4,6,−2,6
14,Sweden,4,1,2,1,3,4,−1,5
15,Mexico,4,1,1,2,5,5,0,4
16,Australia,4,1,1,2,5,6,−1,4
17,South Korea,3,1,1,1,3,4,−1,4
18,Paraguay,3,1,0,2,2,2,0,3
19,Ivory Coast,3,1,0,2,5,6,−1,3
20,Czech Republic,3,1,0,2,3,4,−1,3
21,Poland,3,1,0,2,2,4,−2,3
22,Croatia,3,0,2,1,2,3,−1,2
23,Angola,3,0,2,1,1,2,−1,2
24,Tunisia,3,0,1,2,3,6,−3,1
25,Iran,3,0,1,2,2,6,−4,1
25,United States,3,0,1,2,2,6,−4,1
27,Trinidad and Tobago,3,0,1,2,0,4,−4,1
28,Japan,3,0,1,2,2,7,−5,1
28,Saudi Arabia,3,0,1,2,2,7,−5,1
30,Togo,3,0,0,3,1,6,−5,0
31,Costa Rica,3,0,0,3,3,9,−6,0
32,Serbia and Montenegro,3,0,0,3,2,10,−8,0
